year,round,Team,Driver,Compound
2018,16,Mercedes,BOT,"['ULTRASOFT', 'SOFT']"
2018,16,Mercedes,HAM,"['ULTRASOFT', 'SOFT']"
2018,16,Racing Point,OCO,"['HYPERSOFT', 'SOFT']"
2018,16,Racing Point,PER,"['HYPERSOFT', 'SOFT']"
2018,16,Red Bull Racing,RIC,"['SOFT', 'ULTRASOFT']"
2018,16,Red Bull Racing,VER,"['SOFT', 'ULTRASOFT']"
2018,16,Renault,HUL,"['SOFT', 'ULTRASOFT']"
2018,16,Renault,SAI,"['SOFT', 'ULTRASOFT']"
2018,16,Sauber,ERI,"['HYPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,16,Sauber,LEC,"['HYPERSOFT', 'SOFT']"
2018,16,Toro Rosso,GAS,['SOFT']
2018,16,Toro Rosso,HAR,"['HYPERSOFT', 'SOFT']"
2018,16,Williams,SIR,"['ULTRASOFT', 'SOFT']"
2018,16,Williams,STR,"['ULTRASOFT', 'SOFT']"
2018,17,Ferrari,RAI,"['SUPERSOFT', 'MEDIUM']"
2018,17,Ferrari,VET,"['SUPERSOFT', 'SOFT']"
2018,17,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2018,17,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2018,17,McLaren,ALO,"['SOFT', 'MEDIUM']"
2018,17,McLaren,VAN,"['SOFT', 'MEDIUM']"
2018,17,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2018,17,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2018,17,Racing Point,OCO,"['SUPERSOFT', 'MEDIUM']"
2018,17,Racing Point,PER,"['SUPERSOFT', 'SOFT']"
2018,17,Red Bull Racing,RIC,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,17,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,17,Renault,HUL,"['MEDIUM', 'SOFT']"
2018,17,Renault,SAI,"['SOFT', 'MEDIUM']"
2018,17,Sauber,ERI,"['SOFT', 'MEDIUM']"
2018,17,Sauber,LEC,"['SOFT', 'MEDIUM', 'SOFT']"
2018,17,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT']"
2018,17,Toro Rosso,HAR,"['SUPERSOFT', 'SOFT']"
2018,17,Williams,SIR,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,17,Williams,STR,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,18,Ferrari,RAI,"['ULTRASOFT', 'SOFT']"
2018,18,Ferrari,VET,"['SUPERSOFT', 'SOFT']"
2018,18,Haas F1 Team,GRO,"['ULTRASOFT', 'ULTRASOFT']"
2018,18,Haas F1 Team,MAG,"['SUPERSOFT', 'SOFT']"
2018,18,McLaren,ALO,['SUPERSOFT']
2018,18,McLaren,VAN,"['SUPERSOFT', 'SOFT', 'SOFT']"
2018,18,Mercedes,BOT,"['SUPERSOFT', 'SOFT']"
2018,18,Mercedes,HAM,"['SUPERSOFT', 'SOFT', 'SOFT']"
2018,18,Racing Point,OCO,"['ULTRASOFT', 'SOFT']"
2018,18,Racing Point,PER,"['ULTRASOFT', 'SOFT']"
2018,18,Red Bull Racing,RIC,['SUPERSOFT']
2018,18,Red Bull Racing,VER,"['SOFT', 'SUPERSOFT']"
2018,18,Renault,HUL,"['ULTRASOFT', 'SOFT']"
2018,18,Renault,SAI,"['SUPERSOFT', 'SOFT']"
2018,18,Sauber,ERI,"['SOFT', 'SUPERSOFT']"
2018,18,Sauber,LEC,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,18,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,18,Toro Rosso,HAR,"['SUPERSOFT', 'SOFT']"
2018,18,Williams,SIR,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,18,Williams,STR,"['SUPERSOFT', 'SOFT', 'SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,19,Ferrari,RAI,"['ULTRASOFT', 'SUPERSOFT']"
2018,19,Ferrari,VET,"['ULTRASOFT', 'SUPERSOFT', 'ULTRASOFT']"
2018,19,Haas F1 Team,GRO,"['SUPERSOFT', 'ULTRASOFT', 'HYPERSOFT']"
2018,19,Haas F1 Team,MAG,"['SUPERSOFT', 'ULTRASOFT']"
2018,19,McLaren,ALO,['ULTRASOFT']
2018,19,McLaren,VAN,"['ULTRASOFT', 'SUPERSOFT']"
